sku,image_path,product_name,category
JOVO-3665,product_images/product-3665.webp,اكس ال ريد كينج250مل,المشروبات
JOVO-1569,product_images/product-1569.webp,الجبريني حليب بالشوكولاته 250غم,المشروبات
JOVO-3082,product_images/product-3082.webp,ازحيمان قهوة 2/3 محروقة 250غم,القهوة والشاي
JOVO-3143,product_images/product-3143.webp,تاسكو ايس كافيه180مل,القهوة والشاي
JOVO-2121,product_images/product-2121.webp,Gاحمد شاي اخضر 100ق,القهوة والشاي
JOVO-3287,product_images/product-3287.webp,كافيه ميت مبيض 400غم,القهوة والشاي
JOVO-3083,product_images/product-3083.webp,ازحيمان قهوة 2/3شقرة 250غم,القهوة والشاي
JOVO-3144,product_images/product-3144.webp,ريو قهوة مثلجه 180مل,القهوة والشاي
JOVO-2124,product_images/product-2124.webp,احمد شاي اخضر حلل250غم,القهوة والشاي
JOVO-3288,product_images/product-3288.webp,مييت كريمة قهوة لايت 450غم,القهوة والشاي
JOVO-3085,product_images/product-3085.webp,ازحيمان قهوة سادة 250غم,القهوة والشاي
JOVO-2125,product_images/product-2125.webp,احمد شاي اخضرتشكيلة 120غم,القهوة والشاي
JOVO-2358,product_images/product-2358.webp,ازكا بمبا 20غم,السناكات والحلويات
JOVO-2225,product_images/product-2225.webp,البقرة شوكولاتة,السناكات والحلويات
JOVO-0902,product_images/product-0902.webp,إليت بفلا شوكولاتة 500غم,السناكات والحلويات
JOVO-1452,product_images/product-1452.webp,اركو مارشميلو 4 الوان 100غم,السناكات والحلويات
JOVO-4212,product_images/product-4212.webp,أوسم كوكيز شوكولاتة 220غم,السناكات والحلويات
JOVO-3215,product_images/product-3215.webp,اوسم بريخونيم 140غم,السناكات والحلويات
JOVO-1446,product_images/product-1446.webp,الجبريني بودينغ فانيلا 110غم,السناكات والحلويات
JOVO-3021,product_images/product-3021.webp,بوبفلي ميكرويف فشار زبدة 240غم,السناكات والحلويات
JOVO-1081,product_images/product-1081.webp,صالح خلف تمر 1كغم,السناكات والحلويات
JOVO-1433,product_images/product-1433.webp,الهلال حلاوة بالفانيلا 700غم,السناكات والحلويات
JOVO-2870,product_images/product-2870.webp,اريال غسيل ابيض 7 كيلو,تنظيف المنزل
JOVO-3423,product_images/product-3423.webp,اجاكس ملمع زجاج 750مل,تنظيف المنزل
JOVO-2767,product_images/product-2767.webp,اريكس سلكة 3*24 قطعة,تنظيف المنزل
JOVO-3841,product_images/product-3841.webp,ايرويك تعبئة ليالي صيفية 250مل,تنظيف المنزل
JOVO-4089,product_images/product-4089.webp,سيلباك ورق تواليت 32رول,تنظيف المنزل
JOVO-2871,product_images/product-2871.webp,أريكس تونكيتا ملاقط 2 قطعة,تنظيف المنزل
JOVO-3424,product_images/product-3424.webp,اجاكس منظف أرضيات أخضر 1.5 لتر,تنظيف المنزل
JOVO-2768,product_images/product-2768.webp,اريكس سلكة جلي 1 قطعة,تنظيف المنزل
JOVO-3842,product_images/product-3842.webp,إيرويك جهاز معطر رائحة القطن 288مل,تنظيف المنزل
JOVO-2872,product_images/product-2872.webp,أريكس تونكيتا ملاقط خشبية 24 قطعة,تنظيف المنزل
JOVO-0420,product_images/product-0420.webp,الترا بيوتي فرشاة شعر 1ق,العناية الشخصية
JOVO-0301,product_images/product-0301.webp,اكوا فرشاة مساج للظهر 1ق,العناية الشخصية
JOVO-0576,product_images/product-0576.webp,اورال بي 3 فرشاة اسنان انتعاش طبيعي 2ق,العناية الشخصية
JOVO-0650,product_images/product-0650.webp,اريكس قطن ماكياج 2ق,العناية الشخصية
JOVO-0256,product_images/product-0256.webp,الويز فوط نسائية عادي حماية ليلية فائقة 24ق,العناية الشخصية
JOVO-3350,product_images/product-3350.webp,ادم مزيل عرق الاساسي للرجال 200مل,العناية الشخصية
JOVO-0211,product_images/product-0211.webp,جيليت 2 شفرات 5ق,العناية الشخصية
JOVO-0245,product_images/product-0245.webp,دوف سائل استحمام الجسم الخيار و الشاي 500مل,العناية الشخصية
JOVO-0421,product_images/product-0421.webp,الفيف بلسم الارجنين المقاوم 550مل,العناية الشخصية
JOVO-0302,product_images/product-0302.webp,اكوا مساج ليفة 1ق,العناية الشخصية
JOVO-1361,product_images/product-1361.webp,بامبرز بيبي دراي دبل رقم 6 24ق,الأطفال
JOVO-4139,product_images/product-4139.webp,1*هاجيز محارم مبللة54ق,الأطفال
JOVO-1552,product_images/product-1552.webp,اس- 26 جولد رقم 1 400غم,الأطفال
JOVO-2632,product_images/product-2632.webp,الزهراء ارز مطحون 350غم,الأطفال
JOVO-1362,product_images/product-1362.webp,بامبرز بيبي دراي ميجا رقم+4 70ق,الأطفال
JOVO-4141,product_images/product-4141.webp,بامبرز محارم مبللة 4*52ق,الأطفال
JOVO-1553,product_images/product-1553.webp,اس-26 جولد #3 900غم,الأطفال
JOVO-1363,product_images/product-1363.webp,بامبرز حفاضات بيبي ميجا رقم4 80ق,الأطفال
JOVO-4145,product_images/product-4145.webp,ثيو شامبو أطفال3ل,الأطفال
JOVO-1554,product_images/product-1554.webp,اس-26 جولد رقم 1 900غم,الأطفال
JOVO-0719,product_images/product-0719.webp,أكياس نفايات 100*130 سم 10 قطعة,مستلزمات منزلية
JOVO-0765,product_images/product-0765.webp,بلاتينيوم قصدير 7 متر,مستلزمات منزلية
JOVO-3653,product_images/product-3653.webp,ابريز انثى,مستلزمات منزلية
JOVO-0236,product_images/product-0236.webp,سانو كي 300 طارد حشرات 630مل,مستلزمات منزلية
JOVO-0050,product_images/product-0050.webp,بيرنير مولع فحم 1ق,مستلزمات منزلية
JOVO-0677,product_images/product-0677.webp,الوان مائية 6 حجم صغير,مستلزمات منزلية
JOVO-0720,product_images/product-0720.webp,الزعيم قصدير 7.5متر,مستلزمات منزلية
JOVO-0766,product_images/product-0766.webp,تيستي قصدير 45سم 850غم,مستلزمات منزلية
JOVO-3654,product_images/product-3654.webp,ابريز ذكر,مستلزمات منزلية
JOVO-0237,product_images/product-0237.webp,سانو كي 301 طارد حشرات 300مل,مستلزمات منزلية
