sku,name,category,price,costPrice,description,brand,unitLabel,barcode,stockQuantity,isVariableWeight,isFeatured,reorderLevel
JOVO-3828,سمرا اصابع موتزريلا ايطالية 600غم,المجمدات,33.00,24.75,سمرا اصابع موتزريلا ايطالية 600غم - 600غم,,600غم,,27,false,false,8
JOVO-1604,الاسلامية جزر 500 غم,المجمدات,8.00,6.00,الاسلامية جزر 500 غم - 500 غم,,500 غم,,34,false,false,8
JOVO-1037,جولدن بطاطا زكزاك 1.5كغم,المجمدات,23.00,17.25,جولدن بطاطا زكزاك 1.5كغم - 1.5كغم,,1.5كغم,,41,false,false,8
JOVO-3829,سمرا كبة لحم بالجوز 600غ,المجمدات,33.00,24.75,سمرا كبة لحم بالجوز 600غ - قطعة,,قطعة,,48,false,false,8
JOVO-1605,الاسلامية خضار مشكلة 500 غم,المجمدات,8.00,6.00,الاسلامية خضار مشكلة 500 غم - 500 غم,,500 غم,,55,false,false,8
JOVO-1038,جولدن بطاطا ستيك1.5كغم,المجمدات,22.00,16.50,جولدن بطاطا ستيك1.5كغم - 1.5كغم,,1.5كغم,,19,false,false,8
JOVO-3832,سنيورة سلامي بيتزا 300غم,المجمدات,13.00,9.75,سنيورة سلامي بيتزا 300غم - 300غم,,300غم,,26,false,false,8
JOVO-1606,الاسلامية ذرة 500 غم,المجمدات,9.00,6.75,الاسلامية ذرة 500 غم - 500 غم,,500 غم,,33,false,false,8
JOVO-1583,الخضري خبز شعير 4 قطع,المخبوزات,7.00,5.25,الخضري خبز شعير 4 قطع - 4 ق,,4 ق,,40,false,true,8
JOVO-1594,النور خبز مشرح أبيض 600 غم,المخبوزات,7.00,5.25,النور خبز مشرح أبيض 600 غم - 600 غم,,600 غم,,47,false,true,8
JOVO-1587,تنور عادل خبز حمام 5ق,المخبوزات,5.00,3.75,تنور عادل خبز حمام 5ق - 5ق,,5ق,,54,false,false,8
JOVO-1598,دولسيسول توست ابيض 820غم,المخبوزات,13.00,9.75,دولسيسول توست ابيض 820غم - 820غم,,820غم,,18,false,false,8
JOVO-3289,الخضري قرشلة بالسمسم 850غم,المخبوزات,10.00,7.50,الخضري قرشلة بالسمسم 850غم - 850غم,,850غم,,25,false,false,8
JOVO-1584,جبل خبز طابون بدون سكر,المخبوزات,6.00,4.50,جبل خبز طابون بدون سكر - قطعة,,قطعة,,32,false,false,8
JOVO-1596,تنور عادل خبز اسود,المخبوزات,4.00,3.00,تنور عادل خبز اسود - قطعة,,قطعة,,39,false,false,8
JOVO-1590,دولسيسول خبز بطاطا برجر340غم,المخبوزات,9.00,6.75,دولسيسول خبز بطاطا برجر340غم - 340غم,,340غم,,46,false,false,8
JOVO-1599,دولسيسول توست اسود 820غم,المخبوزات,13.00,9.75,دولسيسول توست اسود 820غم - 820غم,,820غم,,53,false,false,8
JOVO-1585,جبل خبز كماج اسود بدون سكر 1 ربطة,المخبوزات,5.00,3.75,جبل خبز كماج اسود بدون سكر 1 ربطة - قطعة,,قطعة,,60,false,false,8
JOVO-0097,الوليمة ارز بسمتي 1كغم,المواد التموينية,11.00,8.25,الوليمة ارز بسمتي 1كغم - 1كغم,,1كغم,,24,false,true,8
JOVO-3857,ابو عيطة رقم 2 350غم,المواد التموينية,3.00,2.25,ابو عيطة رقم 2 350غم - 350غم,,350غم,,31,false,true,8
JOVO-1057,سكر فضي 100 غم,المواد التموينية,3.00,2.25,سكر فضي 100 غم - 100 غم,,100 غم,,38,false,false,8
JOVO-1092,الارض دقة 350غم,المواد التموينية,11.00,8.25,الارض دقة 350غم - 350غم,,350غم,,45,false,false,8
JOVO-2054,الزهراء باكنج باودر 5باكيت 10غم,المواد التموينية,1.00,0.75,الزهراء باكنج باودر 5باكيت 10غم - 10غم,,10غم,,52,false,false,8
JOVO-3995,80اوسم فرنش فانيلا بودينغ,المواد التموينية,6.00,4.50,80اوسم فرنش فانيلا بودينغ - قطعة,,قطعة,,59,false,false,8
JOVO-2105,البقره الحلوب سمنة 400غم,المواد التموينية,37.00,27.75,البقره الحلوب سمنة 400غم - 400غم,,400غم,,23,false,false,8
JOVO-1952,صالح خلف زيت جوز الهند 350مل,المواد التموينية,22.00,16.50,صالح خلف زيت جوز الهند 350مل - 350مل,,350مل,,30,false,false,8
JOVO-1947,صالح خلف زيت زيتون 350مل,المواد التموينية,26.00,19.50,صالح خلف زيت زيتون 350مل - 350مل,,350مل,,37,false,false,8
JOVO-1723,ابراهيم صلصة بندورة580غم,المواد التموينية,7.50,5.63,ابراهيم صلصة بندورة580غم - 580غم,,580غم,,44,false,false,8
JOVO-3680,بفاريا برتقال علب 150مل,المشروبات,2.00,1.50,بفاريا برتقال علب 150مل - 150مل,,150مل,,51,false,true,8
JOVO-2668,الجنيدي عصير تفاح 200مل,المشروبات,1.00,0.75,الجنيدي عصير تفاح 200مل - 200مل,,200مل,,58,false,true,8
JOVO-3664,اكس ال 150مل,المشروبات,2.50,1.88,اكس ال 150مل - 150مل,,150مل,,22,false,false,8
JOVO-1568,الجبريني حليب بالشوكلاتة 1لتر,المشروبات,9.00,6.75,الجبريني حليب بالشوكلاتة 1لتر - 1لتر,,1لتر,,29,false,false,8
JOVO-4136,اكوافينا مياه 1.5لتر,المشروبات,10.00,7.50,اكوافينا مياه 1.5لتر - 1.5لتر,,1.5لتر,,36,false,false,8
JOVO-4133,جريكو مياه 200مل,المشروبات,16.00,12.00,جريكو مياه 200مل - 200مل,,200مل,,43,false,false,8
JOVO-3681,بفاريا تفاح 330مل,المشروبات,18.00,13.50,بفاريا تفاح 330مل - 330مل,,330مل,,50,false,false,8
JOVO-2669,الجنيدي عصير عنب 150مل,المشروبات,1.00,0.75,الجنيدي عصير عنب 150مل - 150مل,,150مل,,57,false,false,8
JOVO-3665,اكس ال ريد كينج250مل,المشروبات,3.00,2.25,اكس ال ريد كينج250مل - 250مل,,250مل,,21,false,false,8
JOVO-1569,الجبريني حليب بالشوكولاته 250غم,المشروبات,4.00,3.00,الجبريني حليب بالشوكولاته 250غم - 250غم,,250غم,,28,false,false,8
JOVO-3082,ازحيمان قهوة 2/3 محروقة 250غم,القهوة والشاي,18.00,13.50,ازحيمان قهوة 2/3 محروقة 250غم - 250غم,,250غم,,35,false,true,8
JOVO-3143,تاسكو ايس كافيه180مل,القهوة والشاي,4.00,3.00,تاسكو ايس كافيه180مل - 180مل,,180مل,,42,false,true,8
JOVO-2121,Gاحمد شاي اخضر 100ق,القهوة والشاي,19.00,14.25,Gاحمد شاي اخضر 100ق - 100ق,,100ق,,49,false,false,8
JOVO-3287,كافيه ميت مبيض 400غم,القهوة والشاي,18.00,13.50,كافيه ميت مبيض 400غم - 400غم,,400غم,,56,false,false,8
JOVO-3083,ازحيمان قهوة 2/3شقرة 250غم,القهوة والشاي,18.00,13.50,ازحيمان قهوة 2/3شقرة 250غم - 250غم,,250غم,,20,false,false,8
JOVO-3144,ريو قهوة مثلجه 180مل,القهوة والشاي,3.00,2.25,ريو قهوة مثلجه 180مل - 180مل,,180مل,,27,false,false,8
JOVO-2124,احمد شاي اخضر حلل250غم,القهوة والشاي,17.00,12.75,احمد شاي اخضر حلل250غم - 250غم,,250غم,,34,false,false,8
JOVO-3288,مييت كريمة قهوة لايت 450غم,القهوة والشاي,21.00,15.75,مييت كريمة قهوة لايت 450غم - 450غم,,450غم,,41,false,false,8
JOVO-3085,ازحيمان قهوة سادة 250غم,القهوة والشاي,18.00,13.50,ازحيمان قهوة سادة 250غم - 250غم,,250غم,,48,false,false,8
JOVO-2125,احمد شاي اخضرتشكيلة 120غم,القهوة والشاي,26.00,19.50,احمد شاي اخضرتشكيلة 120غم - 120غم,,120غم,,55,false,false,8
JOVO-2358,ازكا بمبا 20غم,السناكات والحلويات,0.50,0.38,ازكا بمبا 20غم - 20غم,,20غم,,19,false,true,8
JOVO-2225,البقرة شوكولاتة,السناكات والحلويات,12.00,9.00,البقرة شوكولاتة - قطعة,,قطعة,,26,false,true,8
JOVO-0902,إليت بفلا شوكولاتة 500غم,السناكات والحلويات,18.00,13.50,إليت بفلا شوكولاتة 500غم - 500غم,,500غم,,33,false,false,8
JOVO-1452,اركو مارشميلو 4 الوان 100غم,السناكات والحلويات,5.00,3.75,اركو مارشميلو 4 الوان 100غم - 100غم,,100غم,,40,false,false,8
JOVO-4212,أوسم كوكيز شوكولاتة 220غم,السناكات والحلويات,13.00,9.75,أوسم كوكيز شوكولاتة 220غم - 220غم,,220غم,,47,false,false,8
JOVO-3215,اوسم بريخونيم 140غم,السناكات والحلويات,8.00,6.00,اوسم بريخونيم 140غم - 140غم,,140غم,,54,false,false,8
JOVO-1446,الجبريني بودينغ فانيلا 110غم,السناكات والحلويات,1.50,1.13,الجبريني بودينغ فانيلا 110غم - 110غم,,110غم,,18,false,false,8
JOVO-3021,بوبفلي ميكرويف فشار زبدة 240غم,السناكات والحلويات,12.00,9.00,بوبفلي ميكرويف فشار زبدة 240غم - 240غم,,240غم,,25,false,false,8
JOVO-1081,صالح خلف تمر 1كغم,السناكات والحلويات,30.00,22.50,صالح خلف تمر 1كغم - 1كغم,,1كغم,,32,false,false,8
JOVO-1433,الهلال حلاوة بالفانيلا 700غم,السناكات والحلويات,21.00,15.75,الهلال حلاوة بالفانيلا 700غم - 700غم,,700غم,,39,false,false,8
JOVO-2870,اريال غسيل ابيض 7 كيلو,تنظيف المنزل,58.00,43.50,اريال غسيل ابيض 7 كيلو - 7 كيلو,,7 كيلو,,46,false,true,8
JOVO-3423,اجاكس ملمع زجاج 750مل,تنظيف المنزل,16.00,12.00,اجاكس ملمع زجاج 750مل - 750مل,,750مل,,53,false,true,8
JOVO-2767,اريكس سلكة 3*24 قطعة,تنظيف المنزل,15.00,11.25,اريكس سلكة 3*24 قطعة - 24 ق,,24 ق,,60,false,false,8
JOVO-3841,ايرويك تعبئة ليالي صيفية 250مل,تنظيف المنزل,9.90,7.43,ايرويك تعبئة ليالي صيفية 250مل - 250مل,,250مل,,24,false,false,8
JOVO-4089,سيلباك ورق تواليت 32رول,تنظيف المنزل,35.00,26.25,سيلباك ورق تواليت 32رول - قطعة,,قطعة,,31,false,false,8
JOVO-2871,أريكس تونكيتا ملاقط 2 قطعة,تنظيف المنزل,8.00,6.00,أريكس تونكيتا ملاقط 2 قطعة - 2 ق,,2 ق,,38,false,false,8
JOVO-3424,اجاكس منظف أرضيات أخضر 1.5 لتر,تنظيف المنزل,19.00,14.25,اجاكس منظف أرضيات أخضر 1.5 لتر - 1.5 لتر,,1.5 لتر,,45,false,false,8
JOVO-2768,اريكس سلكة جلي 1 قطعة,تنظيف المنزل,8.00,6.00,اريكس سلكة جلي 1 قطعة - 1 ق,,1 ق,,52,false,false,8
JOVO-3842,إيرويك جهاز معطر رائحة القطن 288مل,تنظيف المنزل,45.00,33.75,إيرويك جهاز معطر رائحة القطن 288مل - 288مل,,288مل,,59,false,false,8
JOVO-2872,أريكس تونكيتا ملاقط خشبية 24 قطعة,تنظيف المنزل,8.00,6.00,أريكس تونكيتا ملاقط خشبية 24 قطعة - 24 ق,,24 ق,,23,false,false,8
JOVO-0420,الترا بيوتي فرشاة شعر 1ق,العناية الشخصية,10.00,7.50,الترا بيوتي فرشاة شعر 1ق - 1ق,,1ق,,30,false,true,8
JOVO-0301,اكوا فرشاة مساج للظهر 1ق,العناية الشخصية,15.00,11.25,اكوا فرشاة مساج للظهر 1ق - 1ق,,1ق,,37,false,true,8
JOVO-0576,اورال بي 3 فرشاة اسنان انتعاش طبيعي 2ق,العناية الشخصية,14.00,10.50,اورال بي 3 فرشاة اسنان انتعاش طبيعي 2ق - 2ق,,2ق,,44,false,false,8
JOVO-0650,اريكس قطن ماكياج 2ق,العناية الشخصية,10.00,7.50,اريكس قطن ماكياج 2ق - 2ق,,2ق,,51,false,false,8
JOVO-0256,الويز فوط نسائية عادي حماية ليلية فائقة 24ق,العناية الشخصية,13.00,9.75,الويز فوط نسائية عادي حماية ليلية فائقة 24ق - 24ق,,24ق,,58,false,false,8
JOVO-3350,ادم مزيل عرق الاساسي للرجال 200مل,العناية الشخصية,15.00,11.25,ادم مزيل عرق الاساسي للرجال 200مل - 200مل,,200مل,,22,false,false,8
JOVO-0211,جيليت 2 شفرات 5ق,العناية الشخصية,5.00,3.75,جيليت 2 شفرات 5ق - 5ق,,5ق,,29,false,false,8
JOVO-0245,دوف سائل استحمام الجسم الخيار و الشاي 500مل,العناية الشخصية,12.00,9.00,دوف سائل استحمام الجسم الخيار و الشاي 500مل - 500مل,,500مل,,36,false,false,8
JOVO-0421,الفيف بلسم الارجنين المقاوم 550مل,العناية الشخصية,17.00,12.75,الفيف بلسم الارجنين المقاوم 550مل - 550مل,,550مل,,43,false,false,8
JOVO-0302,اكوا مساج ليفة 1ق,العناية الشخصية,16.00,12.00,اكوا مساج ليفة 1ق - 1ق,,1ق,,50,false,false,8
JOVO-1361,بامبرز بيبي دراي دبل رقم 6 24ق,الأطفال,25.00,18.75,بامبرز بيبي دراي دبل رقم 6 24ق - 24ق,,24ق,,57,false,true,8
JOVO-4139,1*هاجيز محارم مبللة54ق,الأطفال,6.00,4.50,1*هاجيز محارم مبللة54ق - 54ق,,54ق,,21,false,true,8
JOVO-1552,اس- 26 جولد رقم 1 400غم,الأطفال,42.00,31.50,اس- 26 جولد رقم 1 400غم - 400غم,,400غم,,28,false,false,8
JOVO-2632,الزهراء ارز مطحون 350غم,الأطفال,9.00,6.75,الزهراء ارز مطحون 350غم - 350غم,,350غم,,35,false,false,8
JOVO-1362,بامبرز بيبي دراي ميجا رقم+4 70ق,الأطفال,69.90,52.43,بامبرز بيبي دراي ميجا رقم+4 70ق - 70ق,,70ق,,42,false,false,8
JOVO-4141,بامبرز محارم مبللة 4*52ق,الأطفال,16.00,12.00,بامبرز محارم مبللة 4*52ق - 52ق,,52ق,,49,false,false,8
JOVO-1553,اس-26 جولد #3 900غم,الأطفال,83.00,62.25,اس-26 جولد #3 900غم - 900غم,,900غم,,56,false,false,8
JOVO-1363,بامبرز حفاضات بيبي ميجا رقم4 80ق,الأطفال,69.90,52.43,بامبرز حفاضات بيبي ميجا رقم4 80ق - 80ق,,80ق,,20,false,false,8
JOVO-4145,ثيو شامبو أطفال3ل,الأطفال,20.90,15.68,ثيو شامبو أطفال3ل - قطعة,,قطعة,,27,false,false,8
JOVO-1554,اس-26 جولد رقم 1 900غم,الأطفال,83.00,62.25,اس-26 جولد رقم 1 900غم - 900غم,,900غم,,34,false,false,8
JOVO-0719,أكياس نفايات 100*130 سم 10 قطعة,مستلزمات منزلية,18.00,13.50,أكياس نفايات 100*130 سم 10 قطعة - 130 سم,,130 سم,,41,false,true,8
JOVO-0765,بلاتينيوم قصدير 7 متر,مستلزمات منزلية,5.00,3.75,بلاتينيوم قصدير 7 متر - 7 متر,,7 متر,,48,false,true,8
JOVO-3653,ابريز انثى,مستلزمات منزلية,3.00,2.25,ابريز انثى - قطعة,,قطعة,,55,false,false,8
JOVO-0236,سانو كي 300 طارد حشرات 630مل,مستلزمات منزلية,21.00,15.75,سانو كي 300 طارد حشرات 630مل - 630مل,,630مل,,19,false,false,8
JOVO-0050,بيرنير مولع فحم 1ق,مستلزمات منزلية,8.00,6.00,بيرنير مولع فحم 1ق - 1ق,,1ق,,26,false,false,8
JOVO-0677,الوان مائية 6 حجم صغير,مستلزمات منزلية,2.00,1.50,الوان مائية 6 حجم صغير - قطعة,,قطعة,,33,false,false,8
JOVO-0720,الزعيم قصدير 7.5متر,مستلزمات منزلية,7.00,5.25,الزعيم قصدير 7.5متر - 7.5متر,,7.5متر,,40,false,false,8
JOVO-0766,تيستي قصدير 45سم 850غم,مستلزمات منزلية,11.00,8.25,تيستي قصدير 45سم 850غم - 45سم,,45سم,,47,false,false,8
JOVO-3654,ابريز ذكر,مستلزمات منزلية,3.00,2.25,ابريز ذكر - قطعة,,قطعة,,54,false,false,8
JOVO-0237,سانو كي 301 طارد حشرات 300مل,مستلزمات منزلية,14.00,10.50,سانو كي 301 طارد حشرات 300مل - 300مل,,300مل,,18,false,false,8
